year_city,city,country,avg_temp_city,moving_avg_city,year_global,avg_temp_global,moving_avg_global
1743,Boston,United States,1.19,,1750,8.72,
1744,Boston,United States,9.63,,1751,7.98,
1745,Boston,United States,-1.37,,1752,5.78,
1746,Boston,United States,,,1753,8.39,
1747,Boston,United States,,,1754,8.47,
1748,Boston,United States,,,1755,8.36,
1749,Boston,United States,,3.15,1756,8.85,8.078571429
1750,Boston,United States,7.88,5.38,1757,9.02,8.121428571
1751,Boston,United States,8.6,5.036666667,1758,6.74,7.944285714
1752,Boston,United States,0.36,5.613333333,1759,7.99,8.26
1753,Boston,United States,7.35,6.0475,1760,7.19,8.088571429
1754,Boston,United States,7.75,6.388,1761,8.77,8.131428571
1755,Boston,United States,4.28,6.036666667,1762,8.61,8.167142857
1756,Boston,United States,7.76,6.282857143,1763,7.5,7.974285714
1757,Boston,United States,6.65,6.107142857,1764,8.4,7.885714286
1758,Boston,United States,6.09,5.748571429,1765,8.25,8.101428571
1759,Boston,United States,6.8,6.668571429,1766,8.41,8.161428571
1760,Boston,United States,5.53,6.408571429,1767,8.22,8.308571429
1761,Boston,United States,8.05,6.451428571,1768,6.78,8.024285714
1762,Boston,United States,7.42,6.9,1769,7.69,7.892857143
1763,Boston,United States,4.99,6.504285714,1770,7.69,7.92
1764,Boston,United States,7.36,6.605714286,1771,7.85,7.841428571
1765,Boston,United States,6.73,6.697142857,1772,8.19,7.832857143
1766,Boston,United States,7.96,6.862857143,1773,8.22,7.805714286
1767,Boston,United States,6.28,6.97,1774,8.77,7.884285714
1768,Boston,United States,6.74,6.782857143,1775,9.18,8.227142857
1769,Boston,United States,6.94,6.714285714,1776,8.3,8.314285714
1770,Boston,United States,6.99,7,1777,8.26,8.395714286
1771,Boston,United States,7.72,7.051428571,1778,8.54,8.494285714
1772,Boston,United States,7.44,7.152857143,1779,8.98,8.607142857
1773,Boston,United States,7.97,7.154285714,1780,9.43,8.78
1774,Boston,United States,7.35,7.307142857,1781,8.1,8.684285714
1775,Boston,United States,8.08,7.498571429,1782,7.9,8.501428571
1776,Boston,United States,6.83,7.482857143,1783,7.68,8.412857143
1777,Boston,United States,6.56,7.421428571,1784,7.86,8.355714286
1778,Boston,United States,4.75,6.997142857,1785,7.36,8.187142857
1779,Boston,United States,-2.31,5.604285714,1786,8.26,8.084285714
1780,Boston,United States,,5.21,1787,8.03,7.884285714
1781,Boston,United States,7.61,5.253333333,1788,8.45,7.934285714
1782,Boston,United States,6.98,5.07,1789,8.33,7.995714286
1783,Boston,United States,6.64,5.038333333,1790,7.98,8.038571429
1784,Boston,United States,6.24,4.985,1791,8.23,8.091428571
1785,Boston,United States,6.32,5.246666667,1792,8.09,8.195714286
1786,Boston,United States,6.81,6.766666667,1793,8.23,8.191428571
1787,Boston,United States,6.81,6.772857143,1794,8.53,8.262857143
1788,Boston,United States,7.6,6.771428571,1795,8.35,8.248571429
1789,Boston,United States,7.25,6.81,1796,8.27,8.24
1790,Boston,United States,7.22,6.892857143,1797,8.51,8.315714286
1791,Boston,United States,7.11,7.017142857,1798,8.67,8.378571429
1792,Boston,United States,6.47,7.038571429,1799,8.51,8.438571429
1793,Boston,United States,7.81,7.181428571,1800,8.48,8.474285714
1794,Boston,United States,7.76,7.317142857,1801,8.59,8.482857143
1795,Boston,United States,7.02,7.234285714,1802,8.58,8.515714286
1796,Boston,United States,6.82,7.172857143,1803,8.5,8.548571429
1797,Boston,United States,6.7,7.098571429,1804,8.84,8.595714286
1798,Boston,United States,7.37,7.135714286,1805,8.56,8.58
1799,Boston,United States,6.85,7.19,1806,8.43,8.568571429
1800,Boston,United States,7.59,7.158571429,1807,8.28,8.54
1801,Boston,United States,8.01,7.194285714,1808,7.63,8.402857143
1802,Boston,United States,8.24,7.368571429,1809,7.08,8.188571429
1803,Boston,United States,7.81,7.51,1810,6.92,7.962857143
1804,Boston,United States,7.43,7.614285714,1811,6.86,7.68
1805,Boston,United States,8.26,7.741428571,1812,7.05,7.464285714
1806,Boston,United States,7.05,7.77,1813,7.74,7.365714286
1807,Boston,United States,6.89,7.67,1814,7.59,7.267142857
1808,Boston,United States,7.31,7.57,1815,7.24,7.211428571
1809,Boston,United States,6.57,7.331428571,1816,6.94,7.191428571
1810,Boston,United States,7.24,7.25,1817,6.98,7.2
1811,Boston,United States,7.43,7.25,1818,7.83,7.338571429
1812,Boston,United States,5.48,6.852857143,1819,7.37,7.384285714
1813,Boston,United States,6.61,6.79,1820,7.62,7.367142857
1814,Boston,United States,6.36,6.714285714,1821,8.09,7.438571429
1815,Boston,United States,6.13,6.545714286,1822,8.19,7.574285714
1816,Boston,United States,5.83,6.44,1823,7.72,7.685714286
1817,Boston,United States,5.57,6.201428571,1824,8.55,7.91
1818,Boston,United States,5.91,5.984285714,1825,8.39,7.99
1819,Boston,United States,6.99,6.2,1826,8.36,8.131428571
1820,Boston,United States,6.8,6.227142857,1827,8.81,8.301428571
1821,Boston,United States,6.52,6.25,1828,8.17,8.312857143
1822,Boston,United States,7.37,6.427142857,1829,7.94,8.277142857
1823,Boston,United States,6.26,6.488571429,1830,8.52,8.391428571
1824,Boston,United States,7.04,6.698571429,1831,7.64,8.261428571
1825,Boston,United States,8,6.997142857,1832,7.45,8.127142857
1826,Boston,United States,7.84,7.118571429,1833,8.01,8.077142857
1827,Boston,United States,6.96,7.141428571,1834,8.15,7.982857143
1828,Boston,United States,8.45,7.417142857,1835,7.39,7.871428571
1829,Boston,United States,6.74,7.327142857,1836,7.7,7.837142857
1830,Boston,United States,7.72,7.535714286,1837,7.38,7.674285714
1831,Boston,United States,7.15,7.551428571,1838,7.51,7.655714286
1832,Boston,United States,6.67,7.361428571,1839,7.63,7.681428571
1833,Boston,United States,6.76,7.207142857,1840,7.8,7.651428571
1834,Boston,United States,6.91,7.2,1841,7.69,7.585714286
1835,Boston,United States,5.97,6.845714286,1842,8.02,7.675714286
1836,Boston,United States,5.28,6.637142857,1843,8.17,7.742857143
1837,Boston,United States,5.59,6.332857143,1844,7.65,7.781428571
1838,Boston,United States,6.36,6.22,1845,7.85,7.83
1839,Boston,United States,6.95,6.26,1846,8.55,7.961428571
1840,Boston,United States,6.98,6.291428571,1847,8.09,8.002857143
1841,Boston,United States,6.83,6.28,1848,7.98,8.044285714
